word,1,2,3,4,5,6,7
направление,76.0,42.0,40.0,22.0,16.0,34.0,19.0
узнать,41.0,36.0,39.0,28.0,42.0,35.0,25.0
стоит,40.0,23.0,38.0,30.0,44.0,45.0,23.0
нужно,20.0,31.0,31.0,45.0,28.0,34.0,54.0
вы,38.0,52.0,31.0,32.0,13.0,31.0,45.0
поступить,46.0,41.0,43.0,35.0,28.0,24.0,24.0
при,31.0,38.0,35.0,39.0,31.0,43.0,24.0
технологии,56.0,49.0,31.0,19.0,37.0,31.0,17.0
меня,35.0,31.0,37.0,39.0,36.0,17.0,44.0
скажите,23.0,21.0,31.0,47.0,34.0,40.0,39.0
бюджет,41.0,33.0,41.0,41.0,36.0,28.0,14.0
общаге,31.0,30.0,37.0,39.0,37.0,19.0,38.0
до,28.0,16.0,19.0,38.0,44.0,40.0,40.0
учиться,33.0,32.0,43.0,28.0,23.0,44.0,19.0
там,33.0,24.0,33.0,23.0,37.0,23.0,46.0
чтобы,27.0,26.0,33.0,30.0,33.0,37.0,33.0
нет,23.0,26.0,30.0,37.0,41.0,32.0,29.0
сейчас,30.0,20.0,36.0,51.0,34.0,26.0,20.0
политехе,40.0,61.0,32.0,16.0,22.0,18.0,26.0
академ,51.0,28.0,39.0,35.0,33.0,19.0,9.0
вуза,36.0,30.0,40.0,35.0,34.0,23.0,12.0
нибудь,27.0,34.0,28.0,26.0,27.0,23.0,43.0
вуз,25.0,30.0,32.0,31.0,33.0,35.0,21.0
те,53.0,37.0,18.0,29.0,30.0,21.0,19.0
общаги,22.0,34.0,28.0,34.0,32.0,19.0,36.0
времени,33.0,22.0,39.0,25.0,32.0,33.0,20.0
которые,37.0,37.0,31.0,38.0,23.0,16.0,22.0
какой,23.0,29.0,36.0,29.0,30.0,27.0,25.0
обучения,39.0,39.0,23.0,38.0,21.0,17.0,22.0
со,15.0,34.0,25.0,25.0,21.0,36.0,37.0
возможно,41.0,15.0,21.0,35.0,28.0,30.0,22.0
дела,25.0,20.0,41.0,25.0,28.0,17.0,29.0
так,18.0,20.0,33.0,24.0,29.0,34.0,26.0
обучение,42.0,23.0,32.0,29.0,17.0,17.0,23.0
нас,21.0,15.0,28.0,37.0,34.0,30.0,18.0
делать,18.0,22.0,30.0,21.0,26.0,26.0,38.0
куда,15.0,21.0,18.0,18.0,24.0,37.0,48.0
политех,36.0,39.0,25.0,20.0,16.0,21.0,24.0
сложно,33.0,25.0,25.0,28.0,17.0,29.0,21.0
время,27.0,23.0,27.0,28.0,26.0,23.0,23.0
направления,35.0,32.0,40.0,18.0,19.0,21.0,12.0
доброго,41.0,23.0,33.0,21.0,14.0,17.0,20.0
только,28.0,20.0,20.0,22.0,24.0,22.0,31.0
анонимно,28.0,26.0,31.0,40.0,31.0,6.0,0.0
факультет,25.0,18.0,23.0,28.0,26.0,28.0,12.0
когонибудь,13.0,19.0,21.0,21.0,11.0,37.0,38.0
реально,25.0,30.0,15.0,14.0,31.0,27.0,18.0
люди,21.0,35.0,28.0,22.0,19.0,14.0,19.0
мне,9.0,25.0,22.0,18.0,12.0,26.0,43.0
магистратуру,31.0,14.0,22.0,34.0,22.0,13.0,18.0
стипендия,9.0,8.0,18.0,28.0,31.0,34.0,26.0
будут,13.0,18.0,17.0,24.0,25.0,24.0,33.0
могут,34.0,16.0,26.0,20.0,24.0,19.0,13.0
группы,28.0,39.0,24.0,18.0,20.0,7.0,15.0
сессии,21.0,19.0,18.0,22.0,29.0,24.0,16.0
такой,19.0,23.0,21.0,17.0,22.0,24.0,23.0
лучше,22.0,28.0,32.0,16.0,16.0,18.0,17.0
системы,28.0,31.0,21.0,16.0,27.0,26.0,0.0
семестр,20.0,17.0,17.0,31.0,22.0,16.0,24.0
информационные,33.0,36.0,17.0,12.0,23.0,17.0,9.0
во,20.0,11.0,21.0,20.0,24.0,16.0,33.0
какого,7.0,10.0,15.0,25.0,26.0,32.0,26.0
общежития,19.0,19.0,31.0,18.0,22.0,10.0,22.0
поступил,24.0,21.0,15.0,12.0,22.0,31.0,15.0
общежитии,21.0,10.0,31.0,26.0,19.0,16.0,17.0
сдать,18.0,18.0,17.0,17.0,19.0,30.0,21.0
об,23.0,17.0,17.0,23.0,21.0,23.0,15.0
общага,0.0,17.0,30.0,19.0,26.0,18.0,27.0
кому,18.0,17.0,11.0,23.0,20.0,25.0,22.0
найти,13.0,12.0,17.0,22.0,25.0,23.0,23.0
специальности,26.0,17.0,20.0,20.0,20.0,17.0,13.0
суток,25.0,18.0,25.0,19.0,14.0,14.0,18.0
здесь,18.0,30.0,19.0,21.0,21.0,11.0,12.0
физре,27.0,14.0,12.0,0.0,28.0,24.0,26.0
был,28.0,27.0,20.0,15.0,23.0,0.0,18.0
политеха,14.0,29.0,18.0,22.0,8.0,15.0,24.0
вступительные,37.0,13.0,12.0,23.0,14.0,18.0,10.0
сделать,15.0,19.0,15.0,19.0,20.0,15.0,24.0
другого,30.0,24.0,17.0,17.0,20.0,9.0,9.0
ты,16.0,19.0,26.0,15.0,12.0,20.0,18.0
проходят,42.0,16.0,16.0,11.0,16.0,16.0,9.0
направлении,27.0,25.0,28.0,12.0,12.0,11.0,11.0
стипендию,17.0,6.0,14.0,20.0,21.0,30.0,18.0
универе,9.0,6.0,22.0,26.0,30.0,17.0,15.0
расписание,19.0,11.0,14.0,11.0,12.0,29.0,28.0
пд,21.0,28.0,20.0,25.0,17.0,13.0,0.0
без,20.0,23.0,15.0,16.0,20.0,15.0,15.0
года,14.0,14.0,15.0,34.0,16.0,15.0,15.0
заявление,12.0,18.0,17.0,23.0,17.0,14.0,21.0
никто,12.0,16.0,8.0,14.0,12.0,17.0,43.0
документы,13.0,10.0,7.0,24.0,22.0,29.0,15.0
же,32.0,11.0,13.0,17.0,14.0,18.0,14.0
какое,18.0,19.0,26.0,14.0,13.0,19.0,10.0
сдавал,19.0,21.0,21.0,25.0,11.0,14.0,7.0
помощь,0.0,9.0,14.0,38.0,19.0,20.0,18.0
студентов,15.0,16.0,19.0,14.0,19.0,19.0,15.0
народ,7.0,20.0,13.0,16.0,10.0,23.0,28.0
ваш,7.0,13.0,11.0,20.0,27.0,22.0,15.0
экзамены,20.0,20.0,14.0,15.0,10.0,15.0,21.0
дело,19.0,21.0,22.0,14.0,12.0,9.0,17.0
могу,13.0,14.0,17.0,12.0,20.0,18.0,19.0
поводу,22.0,14.0,11.0,20.0,21.0,14.0,11.0
студенты,12.0,22.0,23.0,16.0,20.0,11.0,9.0
обстоят,13.0,10.0,27.0,17.0,14.0,8.0,22.0
числа,0.0,10.0,6.0,20.0,22.0,23.0,30.0
возможность,18.0,12.0,16.0,18.0,15.0,19.0,12.0
дизайн,32.0,23.0,15.0,11.0,7.0,10.0,11.0
каких,22.0,9.0,15.0,16.0,16.0,17.0,13.0
надо,11.0,10.0,13.0,16.0,15.0,20.0,22.0
зачт,0.0,10.0,11.0,8.0,24.0,28.0,25.0
какая,11.0,15.0,22.0,22.0,10.0,18.0,7.0
почему,13.0,14.0,13.0,16.0,10.0,13.0,25.0
каком,18.0,17.0,17.0,14.0,9.0,11.0,17.0
насколько,20.0,22.0,20.0,11.0,16.0,14.0,0.0
диплом,16.0,11.0,16.0,29.0,16.0,7.0,7.0
год,15.0,19.0,13.0,16.0,12.0,14.0,12.0
очень,11.0,11.0,13.0,17.0,16.0,18.0,15.0
взять,23.0,10.0,16.0,13.0,14.0,15.0,8.0
ещ,10.0,15.0,18.0,15.0,13.0,9.0,19.0
пересдачи,18.0,12.0,12.0,17.0,15.0,17.0,7.0
пересдачу,11.0,14.0,16.0,10.0,13.0,23.0,11.0
этого,11.0,17.0,16.0,17.0,10.0,15.0,12.0
первого,19.0,8.0,17.0,11.0,21.0,12.0,9.0
собираюсь,10.0,11.0,15.0,15.0,14.0,24.0,8.0
связи,27.0,22.0,8.0,15.0,10.0,9.0,6.0
специальность,15.0,12.0,13.0,21.0,7.0,18.0,10.0
другой,14.0,10.0,15.0,17.0,18.0,11.0,10.0
быть,12.0,14.0,18.0,8.0,18.0,13.0,12.0
информатика,13.0,13.0,11.0,10.0,16.0,11.0,21.0
сдавать,8.0,17.0,11.0,21.0,15.0,7.0,15.0
было,9.0,10.0,21.0,21.0,11.0,7.0,14.0
первом,13.0,20.0,14.0,11.0,15.0,13.0,7.0
много,10.0,11.0,18.0,17.0,12.0,18.0,7.0
пересдача,15.0,15.0,7.0,8.0,17.0,15.0,15.0
пары,22.0,13.0,10.0,12.0,8.0,16.0,10.0
работы,11.0,9.0,20.0,15.0,18.0,11.0,7.0
дают,15.0,9.0,13.0,10.0,12.0,18.0,14.0
мы,0.0,8.0,17.0,18.0,26.0,11.0,10.0
еще,8.0,17.0,9.0,20.0,20.0,0.0,16.0
магистратуре,24.0,8.0,13.0,14.0,15.0,7.0,9.0
зачет,9.0,15.0,9.0,7.0,8.0,19.0,23.0
сессию,0.0,10.0,18.0,15.0,19.0,19.0,8.0
вопросы,21.0,12.0,13.0,8.0,10.0,10.0,15.0
его,0.0,20.0,11.0,12.0,15.0,13.0,18.0
этот,16.0,12.0,11.0,17.0,10.0,10.0,12.0
университете,15.0,9.0,17.0,14.0,9.0,11.0,12.0
факультета,17.0,12.0,10.0,10.0,16.0,12.0,10.0
баллов,20.0,25.0,12.0,7.0,7.0,16.0,0.0
второй,12.0,17.0,6.0,10.0,12.0,10.0,18.0
хотелось,19.0,20.0,15.0,9.0,9.0,7.0,6.0
справку,9.0,9.0,15.0,13.0,7.0,15.0,17.0
вопросов,14.0,12.0,6.0,14.0,10.0,16.0,12.0
семестра,18.0,14.0,16.0,13.0,13.0,10.0,0.0
общественностью,31.0,20.0,9.0,9.0,7.0,6.0,0.0
управление,25.0,12.0,6.0,9.0,8.0,11.0,11.0
работает,9.0,8.0,6.0,19.0,11.0,11.0,18.0
сказать,13.0,9.0,13.0,14.0,14.0,11.0,8.0
планирую,20.0,20.0,11.0,14.0,8.0,8.0,0.0
подсказать,16.0,14.0,9.0,8.0,14.0,13.0,7.0
он,10.0,14.0,11.0,8.0,6.0,13.0,18.0
они,11.0,15.0,8.0,16.0,7.0,9.0,14.0
справки,7.0,8.0,9.0,12.0,10.0,12.0,21.0
направлению,19.0,11.0,0.0,14.0,13.0,10.0,12.0
через,10.0,10.0,10.0,16.0,11.0,9.0,12.0
всех,14.0,12.0,16.0,12.0,7.0,7.0,10.0
один,11.0,14.0,10.0,11.0,8.0,9.0,15.0
находил,8.0,13.0,0.0,0.0,11.0,15.0,28.0
обычно,20.0,7.0,8.0,13.0,11.0,7.0,9.0
больше,9.0,22.0,7.0,8.0,12.0,7.0,9.0
группу,0.0,11.0,6.0,22.0,20.0,9.0,6.0
всего,15.0,18.0,9.0,7.0,7.0,11.0,7.0
происходит,11.0,9.0,8.0,21.0,8.0,7.0,10.0
издательское,8.0,16.0,13.0,8.0,8.0,7.0,13.0
раз,11.0,10.0,8.0,15.0,11.0,6.0,12.0
первый,0.0,9.0,11.0,15.0,14.0,10.0,14.0
истории,13.0,7.0,7.0,12.0,15.0,11.0,8.0
работу,0.0,9.0,20.0,9.0,19.0,8.0,7.0
тебя,17.0,7.0,7.0,9.0,13.0,10.0,9.0
систем,8.0,17.0,10.0,8.0,7.0,10.0,12.0
сессия,10.0,10.0,14.0,9.0,10.0,10.0,9.0
комнату,0.0,15.0,9.0,8.0,14.0,12.0,13.0
идти,0.0,0.0,12.0,12.0,17.0,16.0,14.0
сайте,12.0,15.0,0.0,9.0,10.0,10.0,15.0
диплома,20.0,7.0,8.0,13.0,13.0,10.0,0.0
другую,9.0,12.0,10.0,13.0,6.0,11.0,10.0
место,14.0,10.0,13.0,18.0,9.0,6.0,0.0
были,14.0,8.0,13.0,15.0,9.0,11.0,0.0
была,12.0,0.0,12.0,17.0,9.0,7.0,12.0
перевода,16.0,16.0,13.0,12.0,11.0,0.0,0.0
изза,0.0,18.0,10.0,14.0,10.0,9.0,6.0
чем,7.0,13.0,9.0,0.0,6.0,18.0,14.0
учебу,13.0,9.0,13.0,12.0,14.0,0.0,6.0
опыт,14.0,20.0,12.0,10.0,10.0,0.0,0.0
такое,8.0,7.0,12.0,11.0,8.0,11.0,9.0
занятия,15.0,0.0,17.0,0.0,11.0,9.0,14.0
того,10.0,8.0,9.0,8.0,9.0,14.0,7.0
шарит,8.0,18.0,13.0,0.0,8.0,9.0,9.0
нужна,0.0,0.0,12.0,19.0,12.0,10.0,11.0
закрыть,23.0,12.0,8.0,0.0,7.0,6.0,7.0
предмету,14.0,14.0,8.0,11.0,8.0,0.0,8.0
пройти,13.0,8.0,11.0,0.0,11.0,11.0,8.0
информационных,13.0,9.0,10.0,9.0,9.0,11.0,0.0
сразу,8.0,7.0,8.0,13.0,15.0,0.0,10.0
стипендии,0.0,0.0,10.0,14.0,11.0,12.0,14.0
выбрать,14.0,20.0,19.0,0.0,0.0,8.0,0.0
хотел,11.0,14.0,15.0,0.0,7.0,7.0,7.0
беседа,23.0,30.0,8.0,0.0,0.0,0.0,0.0
факультете,10.0,7.0,14.0,0.0,15.0,7.0,8.0
просто,0.0,12.0,10.0,11.0,14.0,8.0,6.0
поступления,9.0,10.0,12.0,10.0,6.0,13.0,0.0
безопасность,11.0,12.0,14.0,0.0,0.0,10.0,13.0
ходить,9.0,8.0,6.0,7.0,8.0,6.0,16.0
заочку,10.0,0.0,7.0,8.0,14.0,14.0,7.0
сюда,14.0,12.0,8.0,0.0,8.0,9.0,9.0
попасть,8.0,6.0,12.0,7.0,12.0,14.0,0.0
подать,8.0,8.0,8.0,15.0,13.0,7.0,0.0
переводился,16.0,11.0,9.0,17.0,0.0,0.0,6.0
курсы,7.0,0.0,9.0,10.0,8.0,12.0,13.0
комиссии,9.0,8.0,10.0,8.0,13.0,11.0,0.0
физру,13.0,6.0,8.0,0.0,6.0,11.0,15.0
какието,9.0,7.0,10.0,15.0,11.0,7.0,0.0
технологий,13.0,9.0,11.0,8.0,8.0,10.0,0.0
дистанционно,12.0,11.0,12.0,17.0,6.0,0.0,0.0
физике,0.0,11.0,0.0,12.0,18.0,10.0,7.0
пк,7.0,7.0,0.0,0.0,14.0,12.0,18.0
приветствую,15.0,18.0,9.0,9.0,6.0,0.0,0.0
она,11.0,9.0,14.0,0.0,9.0,0.0,14.0
егэ,7.0,16.0,7.0,12.0,6.0,9.0,0.0
заочке,18.0,7.0,6.0,9.0,7.0,10.0,0.0
правда,12.0,0.0,9.0,11.0,16.0,0.0,9.0
ни,0.0,16.0,11.0,7.0,6.0,10.0,6.0
чтото,9.0,6.0,0.0,18.0,13.0,10.0,0.0
несколько,7.0,9.0,0.0,13.0,10.0,11.0,6.0
срочно,7.0,8.0,6.0,8.0,0.0,12.0,14.0
написать,10.0,7.0,8.0,11.0,9.0,10.0,0.0
тех,12.0,7.0,10.0,10.0,7.0,8.0,0.0
работать,12.0,0.0,18.0,0.0,9.0,9.0,6.0
математике,9.0,8.0,11.0,8.0,7.0,11.0,0.0
поступаю,25.0,0.0,12.0,0.0,9.0,7.0,0.0
тем,8.0,10.0,8.0,11.0,7.0,0.0,9.0
магистратуры,10.0,20.0,0.0,9.0,0.0,7.0,7.0
поступал,11.0,9.0,9.0,10.0,7.0,7.0,0.0
мгуп,0.0,0.0,0.0,0.0,0.0,26.0,27.0
шанс,6.0,8.0,12.0,0.0,10.0,9.0,8.0
корпусе,10.0,11.0,6.0,0.0,0.0,7.0,18.0
учусь,0.0,9.0,0.0,23.0,9.0,0.0,11.0
когото,15.0,13.0,9.0,9.0,0.0,6.0,0.0
мест,11.0,14.0,17.0,0.0,0.0,10.0,0.0
одного,10.0,7.0,6.0,10.0,0.0,11.0,7.0
баллами,10.0,11.0,13.0,0.0,7.0,10.0,0.0
реклама,15.0,10.0,0.0,14.0,6.0,0.0,6.0
примерно,7.0,6.0,0.0,9.0,0.0,8.0,20.0
потом,7.0,7.0,6.0,0.0,10.0,7.0,13.0
остались,0.0,9.0,8.0,7.0,0.0,12.0,14.0
университета,8.0,0.0,6.0,15.0,7.0,6.0,8.0
такие,0.0,0.0,9.0,11.0,12.0,8.0,10.0
учатся,16.0,16.0,11.0,0.0,0.0,7.0,0.0
вс,8.0,15.0,7.0,7.0,0.0,0.0,12.0
том,0.0,9.0,11.0,8.0,8.0,0.0,13.0
другое,16.0,8.0,10.0,7.0,8.0,0.0,0.0
средства,0.0,6.0,7.0,8.0,14.0,14.0,0.0
подавать,0.0,7.0,8.0,9.0,9.0,6.0,10.0
нашем,0.0,8.0,7.0,12.0,12.0,10.0,0.0
управления,21.0,13.0,7.0,0.0,0.0,7.0,0.0
семестре,13.0,7.0,8.0,11.0,0.0,9.0,0.0
рассматриваю,14.0,12.0,7.0,7.0,0.0,8.0,0.0
летом,0.0,6.0,9.0,10.0,8.0,15.0,0.0
отчисляют,0.0,5.0,6.0,12.0,9.0,10.0,6.0
универ,0.0,0.0,6.0,14.0,9.0,6.0,12.0
посмотреть,7.0,10.0,0.0,7.0,9.0,14.0,0.0
переводиться,10.0,7.0,6.0,8.0,10.0,6.0,0.0
какую,7.0,13.0,19.0,0.0,0.0,0.0,8.0
перевод,12.0,6.0,0.0,11.0,8.0,9.0,0.0
вебтехнологии,8.0,9.0,12.0,0.0,6.0,11.0,0.0
лабы,10.0,12.0,15.0,0.0,9.0,0.0,0.0
вот,0.0,14.0,8.0,0.0,0.0,9.0,15.0
комнаты,8.0,13.0,9.0,0.0,7.0,0.0,8.0
тд,0.0,11.0,6.0,8.0,8.0,12.0,0.0
да,9.0,10.0,10.0,7.0,9.0,0.0,0.0
информатике,0.0,0.0,0.0,24.0,13.0,8.0,0.0
го,6.0,9.0,0.0,7.0,6.0,0.0,17.0
этой,14.0,0.0,6.0,9.0,9.0,0.0,7.0
вступительных,8.0,17.0,10.0,10.0,0.0,0.0,0.0
пару,7.0,6.0,6.0,10.0,6.0,10.0,0.0
два,0.0,0.0,6.0,14.0,11.0,7.0,6.0
отпуск,7.0,6.0,8.0,7.0,7.0,9.0,0.0
поступлении,0.0,6.0,0.0,14.0,9.0,8.0,7.0
помогите,0.0,0.0,8.0,9.0,6.0,6.0,14.0
обеспечение,9.0,10.0,9.0,9.0,0.0,6.0,0.0
поможет,11.0,7.0,0.0,15.0,10.0,0.0,0.0
холодильник,0.0,11.0,9.0,10.0,0.0,0.0,12.0
каким,0.0,11.0,6.0,8.0,7.0,10.0,0.0
нужны,0.0,0.0,7.0,7.0,6.0,12.0,10.0
который,0.0,12.0,10.0,8.0,0.0,12.0,0.0
одной,0.0,6.0,11.0,9.0,9.0,7.0,0.0
прошлом,7.0,12.0,8.0,7.0,0.0,0.0,7.0
мат,0.0,0.0,0.0,11.0,7.0,11.0,12.0
карту,0.0,0.0,0.0,0.0,7.0,10.0,24.0
практика,7.0,0.0,7.0,10.0,10.0,7.0,0.0
забрать,0.0,0.0,0.0,15.0,10.0,10.0,6.0
както,0.0,7.0,0.0,9.0,7.0,11.0,7.0
теперь,7.0,0.0,6.0,7.0,7.0,6.0,8.0
универа,0.0,0.0,7.0,10.0,12.0,11.0,0.0
тоже,0.0,8.0,7.0,11.0,6.0,8.0,0.0
номер,7.0,0.0,0.0,0.0,7.0,7.0,19.0
месяц,8.0,0.0,6.0,8.0,8.0,9.0,0.0
техника,0.0,6.0,0.0,0.0,14.0,6.0,13.0
обратиться,7.0,0.0,0.0,7.0,0.0,8.0,17.0
лет,0.0,7.0,6.0,12.0,14.0,0.0,0.0
пересдаче,0.0,7.0,0.0,0.0,12.0,8.0,11.0
комнате,9.0,7.0,10.0,0.0,6.0,6.0,0.0
онлайн,10.0,8.0,0.0,13.0,7.0,0.0,0.0
сентября,15.0,7.0,6.0,0.0,0.0,0.0,10.0
думаю,12.0,10.0,9.0,7.0,0.0,0.0,0.0
интересно,0.0,9.0,10.0,0.0,11.0,0.0,7.0
целом,11.0,9.0,11.0,0.0,0.0,6.0,0.0
дизайне,8.0,12.0,10.0,0.0,7.0,0.0,0.0
ну,0.0,10.0,6.0,10.0,0.0,0.0,11.0
ответы,0.0,10.0,0.0,0.0,0.0,13.0,14.0
практику,8.0,0.0,7.0,0.0,12.0,10.0,0.0
первой,0.0,6.0,0.0,7.0,8.0,7.0,9.0
их,19.0,11.0,0.0,0.0,0.0,6.0,0.0
автозаводской,0.0,8.0,7.0,0.0,7.0,8.0,6.0
дадут,11.0,0.0,7.0,9.0,9.0,0.0,0.0
комната,0.0,0.0,17.0,10.0,0.0,0.0,9.0
шансы,9.0,7.0,13.0,0.0,7.0,0.0,0.0
учебе,0.0,8.0,8.0,11.0,9.0,0.0,0.0
пересдать,7.0,0.0,0.0,9.0,7.0,12.0,0.0
ка,0.0,0.0,0.0,0.0,0.0,9.0,26.0
индустрии,10.0,8.0,8.0,8.0,0.0,0.0,0.0
прикладная,9.0,9.0,0.0,7.0,0.0,9.0,0.0
писать,0.0,0.0,6.0,7.0,6.0,7.0,8.0
между,9.0,7.0,11.0,7.0,0.0,0.0,0.0
него,0.0,13.0,6.0,9.0,0.0,0.0,6.0
программное,8.0,10.0,8.0,8.0,0.0,0.0,0.0
пересдач,8.0,0.0,0.0,8.0,0.0,11.0,7.0
списки,0.0,0.0,0.0,7.0,6.0,7.0,14.0
обработки,8.0,12.0,0.0,0.0,14.0,0.0,0.0
хорошо,0.0,11.0,0.0,8.0,0.0,7.0,7.0
отчисление,0.0,0.0,0.0,11.0,7.0,7.0,8.0
билеты,0.0,6.0,0.0,0.0,7.0,10.0,9.0
человек,0.0,8.0,7.0,0.0,0.0,8.0,9.0
ее,7.0,0.0,0.0,7.0,6.0,0.0,12.0
математика,0.0,7.0,8.0,0.0,0.0,11.0,6.0
сдал,7.0,0.0,6.0,8.0,11.0,0.0,0.0
игровой,9.0,8.0,8.0,7.0,0.0,0.0,0.0
вступительным,8.0,0.0,7.0,9.0,8.0,0.0,0.0
интересует,7.0,6.0,12.0,0.0,7.0,0.0,0.0
язык,0.0,6.0,0.0,0.0,6.0,7.0,12.0
рекламы,10.0,7.0,6.0,0.0,0.0,0.0,8.0
компьютерной,10.0,9.0,12.0,0.0,0.0,0.0,0.0
друзья,8.0,9.0,6.0,0.0,0.0,0.0,8.0
хотела,14.0,8.0,9.0,0.0,0.0,0.0,0.0
втором,8.0,0.0,6.0,8.0,8.0,0.0,0.0
учился,8.0,7.0,7.0,8.0,0.0,0.0,0.0
термех,0.0,0.0,0.0,14.0,16.0,0.0,0.0
графический,11.0,10.0,9.0,0.0,0.0,0.0,0.0
производства,12.0,9.0,0.0,0.0,9.0,0.0,0.0
кем,8.0,8.0,0.0,0.0,8.0,0.0,6.0
дней,0.0,9.0,6.0,0.0,9.0,0.0,6.0
тмм,0.0,0.0,7.0,8.0,15.0,0.0,0.0
других,0.0,0.0,9.0,7.0,8.0,0.0,6.0
сегодня,0.0,9.0,0.0,0.0,0.0,8.0,13.0
буду,7.0,6.0,9.0,7.0,0.0,0.0,0.0
товарищи,8.0,0.0,6.0,7.0,0.0,0.0,8.0
данные,8.0,0.0,12.0,9.0,0.0,0.0,0.0
